channel,gain_2023_nC_per_PE,gain_2019_2020_nC_per_PE,transparency_c1Mu_mean_nC_per_PE,transparency_c1Mu_std_nC_per_PE,delta_2023_minus_2019_2020_nC_per_PE,ratio_2023_over_2019_2020,frac_change_2023_vs_2019_2020,delta_2023_minus_transparency_nC_per_PE,delta_2019_2020_minus_transparency_nC_per_PE,ratio_2023_over_transparency,ratio_2019_2020_over_transparency
367,0.001649,0.001457,0.0006379050900918162,8.773084950959857e-06,0.0001920000000000001,1.1317776252573784,0.13177762525737827,0.0010110949099081839,0.0008190949099081838,2.5850240507763513,2.284038836859396
368,0.001776,0.001547,0.0004940028317399882,6.899130691730326e-06,0.00022900000000000004,1.1480284421460891,0.14802844214608923,0.0012819971682600118,0.0010529971682600118,3.595121092210204,3.131560996424091
369,0.000722,0.000802,,,-7.999999999999999e-05,0.9002493765586035,-0.0997506234413965,,,,
370,0.001148,0.001183,0.0009759372256868447,1.0977050837574844e-05,-3.500000000000009e-05,0.9704142011834319,-0.029585798816568126,0.0001720627743131552,0.0002070627743131553,1.17630516572627,1.2121681280959733
371,0.001657,0.001541,,,0.000116,1.0752757949383518,0.07527579493835172,,,,
372,0.001653,0.001392,,,0.00026099999999999995,1.1875,0.18749999999999997,,,,
373,0.001443,0.001163,,,0.0002800000000000001,1.240756663800516,0.240756663800516,,,,
374,0.001435,0.001162,,,0.000273,1.2349397590361446,0.23493975903614459,,,,
375,0.001382,0.001195,,,0.00018699999999999988,1.1564853556485355,0.15648535564853547,,,,
376,0.001476,0.00116,,,0.0003160000000000001,1.2724137931034483,0.2724137931034484,,,,
377,0.001466,0.001095,,,0.000371,1.3388127853881278,0.33881278538812787,,,,
378,0.001382,0.001168,,,0.000214,1.1832191780821917,0.1832191780821918,,,,
379,0.001521,0.00123,,,0.000291,1.2365853658536585,0.23658536585365855,,,,
380,0.001265,0.001111,,,0.00015400000000000006,1.1386138613861387,0.13861386138613865,,,,
381,0.001465,0.00118,,,0.0002849999999999999,1.2415254237288134,0.24152542372881344,,,,
382,0.001248,0.001473,,,-0.00022499999999999994,0.8472505091649695,-0.1527494908350305,,,,
383,0.001465,0.00123,,,0.00023499999999999997,1.1910569105691056,0.19105691056910568,,,,
384,0.001618,0.001197,,,0.00042100000000000015,1.3517126148705096,0.35171261487050975,,,,
385,0.00154,0.001143,,,0.000397,1.347331583552056,0.347331583552056,,,,
386,0.001438,0.001204,,,0.00023400000000000005,1.1943521594684385,0.1943521594684386,,,,
